Sample.Id,Cancer.Study,Cancer,ACBD3,BZRAP1,CYP11A1,CYP17A1,DBI,AR,BCL2,ESR1,HSD3B2,NFKB1,NFKB2,NKAP,NPC1,NPC2,NR5A1,POMC,PGR,SCARB1,SLC25A4,SLC25A6,SOAT1,STAR,STARD3,TSPO,VDAC1,CYP2W1,FDXR,FDX1,TRERF1
TCGA-AB-2827-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2828-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1424.0154,3423.6311,0,0.7685,1093.5639,182.9011,1544.6686,4.611,0,2257.829,291.2584,301.2488,891.7656,1568.4918,3.8425,0.7685,0,969.8367,6.1479,7678.0019,2597.5024,307.3967,620.1729,1399.4236,2569.8367,0.7685,93.756,421.902,2340.8261
TCGA-AB-2829-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2830-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,795.9184,2369.7017,0,0.7849,1289.6389,11.7739,1618.5243,6.2794,0,2142.0722,600.471,283.3595,1153.2339,762.1664,8.6342,50.2355,0,1925.4317,29.0424,12977.237,674.2543,254.3171,776.2951,965.4631,2156.9859,2.3548,229.9843,525.1177,485.0863
TCGA-AB-2831-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2832-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,756.6314,1864.9496,0,1.8365,1378.2813,0,1019.2486,4.5912,0,1988.9122,510.5426,360.8691,803.9576,1365.4259,0,104.6796,0.9182,1492.1433,62.4405,8912.4571,572.983,787.8517,1205.6518,1830.0564,2501.2913,3.673,238.7429,327.8124,1376.4448
TCGA-AB-2833-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1208.2739,3657.632,0,0,1629.8146,49.9287,308.8445,11.4123,0,2129.1013,815.9772,394.4365,858.2168,2487.1612,1.4265,0,0,854.4936,19.2582,13725.3923,1708.9872,65.6205,951.4979,1880.8845,3072.7532,0,126.2482,547.0756,1901.5692
TCGA-AB-2834-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1554.7931,4372.1493,0,0,846.8214,4.0363,2349.1423,50.0505,0.8073,2221.5943,295.4591,330.9788,665.9939,1543.4914,25.0252,2.4218,2.4218,657.114,13.7235,4870.2321,1802.6236,175.1766,724.9243,1227.0434,1960.0404,0.8073,58.1231,435.116,2047.225
TCGA-AB-2835-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,867.1419,651.9767,0,0,1635.7745,1.2962,259.2353,6.4809,0,2624.1089,715.4893,318.2113,679.7732,3510.0454,0.6481,0.6481,0.6481,924.1737,14.2579,9594.9449,1551.523,539.2093,1031.1082,3236.5522,1803.6293,0,359.0408,344.7829,3019.4426
TCGA-AB-2836-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,921.0337,3077.5305,0,0.7179,893.7545,0,791.0983,2.8715,0,2254.1278,953.3381,234.7452,1091.7373,2744.4365,7.8966,13.6396,0,1002.8715,17.229,7017.229,1573.5822,162.2398,842.0675,1554.9174,1591.5291,1.4358,160.804,333.8119,2022.972
TCGA-AB-2837-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,980.0662,2686.6258,0,6.2226,980.844,0,284.6859,7.0005,0,2552.839,1494.9898,247.35,1270.9902,3332.2249,5.4448,0,0,542.1477,10.1118,6649.6711,2377.8272,167.2335,929.5072,1899.4615,1223.527,0,227.1264,331.3557,2111.0314
TCGA-AB-2838-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,975.9036,7466.1145,3.012,0,816.2651,8.2831,1457.0783,21.8373,0,2340.3614,888.5542,267.3193,951.0617,1693.5241,56.4759,11.2952,0,1153.6145,25.6024,8155.1205,894.5783,116.7169,919.4277,1560.994,1442.0181,2.259,62.5,418.6747,2688.253
TCGA-AB-2839-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,993.0736,2941.9913,0,2.5974,806.0606,1.7316,3066.6667,3.4632,0,1669.2641,146.3203,281.3853,684.3983,899.5671,37.2294,45.8874,0,1304.7619,5.1948,6142.8571,677.9221,251.0823,605.1948,558.4416,2164.5022,3.4632,107.3593,412.987,1087.4459
TCGA-AB-2840-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1300.2049,6447.7459,0,0,1534.8361,195.6967,2766.3934,0,0,1094.2623,200.8197,207.9918,626.5574,647.541,70.6967,85.041,0,799.1803,3.0738,3241.8033,670.082,603.4836,732.582,612.7049,1845.2869,1.0246,218.2377,537.9098,1943.6475
TCGA-AB-2841-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,943.1655,6182.0144,0,0,1751.0791,254.6763,1013.6691,0.7194,0,1052.518,553.2374,170.5036,654.6331,1717.2662,203.5971,77.6978,0.7194,764.0288,11.5108,5875.5396,471.223,1297.1223,1164.7482,2270.5036,1795.6835,2.1583,238.8489,346.7626,4826.6187
TCGA-AB-2842-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1823.7325,2179.175,0.7269,0,829.3658,0,960.9304,14.5375,0,2474.2868,311.103,442.6676,800.6397,2124.6593,0.7269,0,0,750.8632,11.63,3862.6204,2367.4359,683.9906,597.4923,840.2689,1481.3738,0.7269,79.9564,364.165,2211.8844
TCGA-AB-2843-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,828.5398,11558.6283,1.1062,2.2124,723.4513,243.3628,817.4779,46.4602,0,1132.7434,546.4602,273.2301,1323.9712,1036.5044,11.0619,2.2124,0,1286.5044,75.2212,8713.4956,777.6549,222.3451,768.8053,801.9912,2191.3717,8.8496,162.6106,246.6814,1965.708
TCGA-AB-2844-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1024.2338,3225.2316,0,0,811.8318,0,945.1176,2.1383,0.7128,2795.4383,424.804,278.6885,701.5538,1207.4127,81.9672,47.0421,0.7128,1530.2922,4.2766,9820.3849,1016.3934,637.206,754.0984,1618.6743,2331.4326,7.1276,80.5417,487.5267,2993.5852
TCGA-AB-2845-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1134.3284,5083.7119,0,0.6489,1308.8903,5.1914,1127.1901,9.085,0,2157.0409,317.3264,284.8799,1264.7891,1711.8754,14.2764,1.2979,0.6489,1226.4763,29.8507,11142.1155,850.7463,379.6236,770.279,349.7729,2308.2414,1.9468,97.3394,302.401,1240.7528
TCGA-AB-2846-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1028.9548,2834.7458,0,1.4124,1768.3616,466.8079,1434.322,8.4746,0,2531.7797,300.8475,261.2994,1032.2175,1358.7571,5.6497,130.6497,2.1186,1742.2316,12.0056,10859.4633,1496.4689,228.1073,823.4463,2065.678,2277.5424,0,127.8249,462.5706,2769.774
TCGA-AB-2847-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,859.675,3712.7031,2.9542,0,588.6263,513.2939,1531.7578,4.4313,0,1268.8331,778.4343,273.2644,680.7681,997.7843,3.6928,93.7962,0,1494.0916,28.065,12826.4402,977.8434,68.6854,777.6957,539.1433,1963.0724,1.4771,234.8597,321.2703,2371.4919
TCGA-AB-2848-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,902.0311,2210.2748,0,1.1947,1004.779,4.779,866.1888,7.1685,1.1947,1677.4194,900.8363,206.6906,1194.1338,1387.0968,7.1685,2.3895,1.1947,1096.7742,16.7264,4031.0633,1168.4588,101.5532,837.5149,1359.6177,1074.0741,4.779,75.2688,544.8029,6268.8172
TCGA-AB-2849-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1181.3031,8067.0444,0,0,332.389,0.9443,7589.2351,214.3532,0.9443,1785.6468,288.0076,232.2946,1093.0028,963.1728,0,0.9443,4.7214,829.084,12.2757,2016.9972,1349.3862,265.3447,960.3399,92.5401,865.9112,2.8329,154.8631,363.5505,1784.7025
TCGA-AB-2850-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2851-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,824.4393,1119.8763,0,1.5468,1036.3496,2.3202,615.6226,3.867,0,2583.14,1121.423,280.7425,1115.3055,2690.6419,20.1083,3.0936,0.7734,1389.0178,12.3743,8113.6891,1580.8198,122.9698,1022.4285,3228.1516,1416.0866,3.0936,103.635,262.181,2272.2351
TCGA-AB-2853-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1339.9154,2068.4062,0,0,676.3047,0,1410.4372,2.1157,0,2187.5882,291.9605,291.2553,689.1326,1088.1523,22.567,34.5557,0,1090.9732,5.6417,5113.5402,968.9704,425.2468,469.6756,497.8843,2592.3836,0.7052,52.8914,505.6417,2610.7193
TCGA-AB-2854-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1083.1947,6887.6872,0,0,925.1248,18.3028,1308.6522,159.7338,0,1665.5574,732.9451,331.1148,653.2779,1654.7421,120.6323,55.7404,2.4958,755.4077,37.4376,3931.7804,1485.8569,331.1148,795.3411,1964.2263,1284.5258,2.4958,116.4725,415.1414,2218.802
TCGA-AB-2855-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,860.3978,19949.7973,0,1.5447,626.3757,0,2201.9695,34.7557,0.7723,3474.8021,681.9849,297.3547,1193.435,688.1637,2.317,189.9981,0,1818.1116,3.8617,6295.4238,934.5433,271.8672,1289.8243,837.9996,2597.4126,2.317,328.2487,249.469,2107.7428
TCGA-AB-2856-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,615.8664,1105.08,0,0,1185.8038,0,839.9443,4.8713,0,2217.119,614.4746,317.3278,427.0981,1706.3326,12.5261,187.1955,0,1559.499,9.0466,15129.4363,1085.595,228.9492,1071.6771,4303.4099,2794.0153,0,430.0626,594.2937,2073.7648
TCGA-AB-2857-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1130.3735,1931.642,4.2283,0,501.7618,33.1219,1831.5715,36.6455,0,2147.9915,1057.7872,305.8492,904.2213,898.5201,50.74,124.031,4.2283,770.9655,98.661,5536.2932,673.7139,52.8541,830.1621,1297.3925,1196.6173,15.5039,89.4996,275.5462,1570.8245
TCGA-AB-2858-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1215.2997,1915.6151,0.7886,1.5773,1271.2934,4.7319,615.142,7.8864,0,1761.8297,548.8959,318.612,974.5662,955.836,48.1073,0,0.7886,1091.4826,24.4479,13204.2587,748.4227,363.5647,1038.6435,1529.9685,2669.5584,0.7886,216.0883,440.0631,1340.694
TCGA-AB-2859-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1078.3133,1118.9759,0,2.259,483.4337,4.5181,1548.1928,64.759,0,2077.5602,695.0301,298.9458,903.9232,1038.4036,36.1446,6.0241,0,1593.3735,33.1325,9137.0482,866.7169,183.7349,757.5301,1026.3554,1658.1325,3.7651,85.8434,292.1687,2137.8012
TCGA-AB-2860-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1362.7386,4714.2857,1.3167,0,897.9592,6.5833,2185.6485,79.6577,0.6583,1749.1771,582.6201,270.5727,1298.1369,2304.1475,6.5833,4.6083,1.3167,1279.131,90.1909,4327.1889,1499.0125,226.4648,445.688,2240.948,1824.8848,0,43.4496,391.7051,1632.6531
TCGA-AB-2861-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,759.9324,6960.2705,1.6906,5.0719,1560.4396,3.3812,856.2975,6.7625,0,1377.8529,329.6703,306.847,563.4573,943.3643,0,0.8453,0.8453,1754.8605,21.1327,17342.35,1563.8208,2704.142,756.5511,2978.8673,3253.5926,2.5359,808.9603,298.3939,2582.4176
TCGA-AB-2862-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,978.5406,9820.4258,1.0006,2.0011,1181.6529,339.1874,1644.9088,1.0006,1.0006,1213.6706,349.1929,323.1786,556.6075,735.4063,75.0415,262.1448,0,1622.8967,8.0044,10982.0676,536.2963,1577.8718,842.4655,986.5451,2265.2516,1.0006,401.2217,390.2156,2259.2482
TCGA-AB-2863-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1082.5627,25814.3989,0,0.6605,795.9049,317.041,1866.5786,42.2721,0,2700.7926,367.2391,286.6579,587.4703,973.5799,0.6605,0.6605,0.6605,1865.9181,74.6367,5597.7543,960.3699,1614.2668,476.2219,330.9115,2883.7517,2.642,90.4888,803.1704,602.3778
TCGA-AB-2864-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2865-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1029.3878,1496.3265,0,0.8163,1110.2041,66.1224,971.4286,27.7551,0,2494.6939,693.8776,257.1429,1345.551,1382.8571,22.8571,0,0,2190.2041,9.7959,9224.4898,788.5714,97.9592,902.8571,591.0204,2335.5102,8.1633,92.2449,253.0612,1435.9184
TCGA-AB-2866-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,801.6975,830.2469,0,1.1188,2072.5309,10.0309,519.2901,18.5185,0,1925.9259,708.3333,288.5802,919.6605,2341.821,0,1.5432,0,1260.0309,26.2346,11077.1605,1192.9012,168.9815,1040.8951,1804.0123,1793.9815,8.4877,247.6852,345.679,3182.0988
TCGA-AB-2867-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1329.5572,2437.6931,0,0,2015.448,22.6571,3311.0196,15.448,1.0299,2489.1864,279.0937,366.6323,629.104,1914.5211,3.0896,1.0299,0,828.0124,20.5973,6864.0577,1028.8363,392.379,617.9197,282.1833,2201.8538,7.2091,32.9557,557.1576,1339.8558
TCGA-AB-2868-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,913.9241,15397.4684,1.6878,0,589.0295,6.7511,2086.9198,75.9494,0,1948.5232,878.481,252.3207,843.1139,750.211,150.211,6.7511,0,1323.2068,65.8228,4291.1392,762.8692,810.9705,811.8143,1525.7384,1075.1055,3.3755,54.8523,329.9578,1513.0802
TCGA-AB-2869-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,960.5792,5966.2108,0,0.8045,566.3717,0,1964.6018,5.6315,0,1531.778,362.0274,293.6444,722.5825,753.8214,12.0676,0,0,1554.3041,16.8946,8329.0426,758.6484,254.2237,775.543,1320.1931,2035.3982,0,186.6452,307.321,864.8431
TCGA-AB-2870-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,780.6086,1380.0425,0,0,1704.8832,289.4551,1889.5966,12.0311,0,3202.4062,476.2916,211.6065,1062.9229,1055.9094,14.1543,7.0771,0,1914.3666,11.3234,8144.3737,1101.2031,171.2668,942.6752,1515.2159,2103.3263,0,169.1437,251.9462,1677.2824
TCGA-AB-2871-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,842.1625,6603.0805,2.6318,2.6318,287.7389,20.1768,1766.7868,30.7038,0,1474.6617,590.391,280.7208,1052.8347,535.1241,35.9674,52.6352,0,2605.4403,43.8626,10416.4976,628.9901,354.4101,836.0217,774.6141,2078.2115,0.8773,154.3965,250.017,1232.5399
TCGA-AB-2872-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1315.9158,23798.4537,0,1.2797,611.0371,45.8544,749.6668,8.5311,0,1174.0869,255.9318,243.1352,667.8646,1434.2842,72.514,1.0664,1.0664,740.0693,13.863,8902.1594,1252.9992,1024.7934,1266.8622,1646.4943,1417.2221,1.0664,170.6212,521.4609,5227.406
TCGA-AB-2873-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,997.9217,1632.881,0,0.9727,816.8908,0,476.4446,14.4104,0.9007,1999.4461,466.5374,236.8713,1054.7709,4334.8352,0,30.6221,0.9007,552.0993,30.6221,8553.4863,2880.2832,78.3567,1047.4576,2677.6366,1167.2442,2.702,306.2215,310.7247,1483.3728
TCGA-AB-2874-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1184.6249,10041.6581,0,0,1113.2619,65.1187,945.559,51.7381,0,2755.5016,292.5881,314.889,680.0532,1634.2114,11.5965,14.2726,0,1487.0253,15.1646,9753.5302,916.1218,1135.5628,598.5567,966.9679,1927.6915,4.4602,72.255,460.291,3293.3998
TCGA-AB-2875-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,917.2414,4751.0345,0.6897,0,620.6897,6.2069,822.069,2.7586,0,2152.4138,527.5862,235.8621,1062.1241,819.3103,88.2759,5.5172,0,1724.8276,12.4138,6644.8276,783.4483,577.2414,907.5862,966.2069,2486.8966,0,130.3448,447.5862,2996.5517
TCGA-AB-2876-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2877-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1021.6981,5506.6038,0,0,984.9057,144.3396,1438.6792,2.8302,0,1400.9434,294.3396,287.7358,925.8208,816.0377,0.9434,0.9434,0,1611.3208,7.5472,5423.5849,771.6981,1111.3208,762.2642,592.4528,1768.8679,13.2075,99.0566,201.8868,1393.3962
TCGA-AB-2878-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TCGA-AB-2879-03,"Acute Myeloid Leukemia (TCGA, Provisional)",AML,1003.1923,2371.9074,0,0,509.178,29.5291,1952.913,1.5962,0,1169.992,367.917,245.012,855.02,665.6026,1.5962,0.7981,0,1553.8707,17.5579,6527.5339,659.2179,340.7821,766.1612,790.9018,1760.5746,3.9904,232.2426,220.2713,1545.0918
